year,month,day,dayofweek,main_sum,main_range,main_even_count,main_high_count,stars_sum,stars_even_count,jackpot_val,main_any_days_since_seen_avg,star_any_days_since_seen_avg,N1_lag1,N1_lag2,N1_lag3,N2_lag1,N2_lag2,N2_lag3,N3_lag1,N3_lag2,N3_lag3,N4_lag1,N4_lag2,N4_lag3,N5_lag1,N5_lag2,N5_lag3,E1_lag1,E1_lag2,E1_lag3,E2_lag1,E2_lag2,E2_lag3,N1_days_since_seen,N2_days_since_seen,N3_days_since_seen,N4_days_since_seen,N5_days_since_seen,E1_days_since_seen,E2_days_since_seen,N1_rolling_unique_10,N1_rolling_unique_25,N1_rolling_unique_50,N2_rolling_unique_10,N2_rolling_unique_25,N2_rolling_unique_50,N3_rolling_unique_10,N3_rolling_unique_25,N3_rolling_unique_50,N4_rolling_unique_10,N4_rolling_unique_25,N4_rolling_unique_50,N5_rolling_unique_10,N5_rolling_unique_25,N5_rolling_unique_50,E1_rolling_unique_10,E1_rolling_unique_25,E1_rolling_unique_50,E2_rolling_unique_10,E2_rolling_unique_25,E2_rolling_unique_50,target_N1,target_N2,target_N3,target_N4,target_N5,target_E1,target_E2
2006,3,10,4,149,48,0,3,12,2,38000000,42.0,80.5,3.0,1.0,4.0,5.0,11.0,23.0,8.0,18.0,24.0,10.0,19.0,26.0,44.0,47.0,38.0,3.0,3.0,2.0,5.0,7.0,4.0,14.0,35.0,49.0,525.0,42.0,63.0,140.0,8.0,15.0,18.0,7.0,16.0,25.0,9.0,19.0,30.0,10.0,20.0,31.0,7.0,14.0,18.0,5.0,5.0,7.0,6.0,7.0,7.0,5.0,32.0,44.0,45.0,50.0,1.0,7.0
2006,3,24,4,160,30,1,4,13,1,64000000,107.8,91.0,5.0,1.0,3.0,32.0,21.0,5.0,44.0,33.0,8.0,45.0,45.0,10.0,50.0,49.0,44.0,1.0,4.0,3.0,7.0,8.0,5.0,126.0,343.0,14.0,511.0,28.0,14.0,168.0,7.0,14.0,17.0,8.0,17.0,26.0,8.0,17.0,30.0,9.0,21.0,32.0,5.0,14.0,18.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,20.0,31.0,45.0,50.0,6.0,7.0
2006,3,31,4,149,47,2,3,13,1,75000000,54.6,31.5,17.0,5.0,1.0,28.0,32.0,21.0,33.0,44.0,33.0,35.0,45.0,45.0,47.0,50.0,49.0,4.0,1.0,4.0,9.0,7.0,8.0,28.0,546.0,189.0,14.0,14.0,49.0,14.0,6.0,14.0,17.0,9.0,17.0,27.0,9.0,18.0,30.0,8.0,21.0,32.0,5.0,14.0,18.0,5.0,5.0,7.0,6.0,7.0,7.0,12.0,13.0,29.0,44.0,50.0,4.0,5.0
2006,4,7,4,148,38,3,3,9,1,15000000,91.0,24.5,3.0,17.0,5.0,20.0,28.0,32.0,31.0,33.0,44.0,45.0,35.0,45.0,50.0,47.0,50.0,6.0,4.0,1.0,7.0,9.0,7.0,77.0,182.0,231.0,77.0,7.0,14.0,35.0,7.0,13.0,17.0,9.0,18.0,26.0,9.0,19.0,30.0,8.0,20.0,31.0,5.0,13.0,18.0,5.0,5.0,7.0,6.0,7.0,7.0,16.0,26.0,34.0,35.0,49.0,2.0,6.0
2006,4,14,4,160,33,3,4,8,2,26000000,61.6,35.0,12.0,3.0,17.0,13.0,20.0,28.0,29.0,31.0,33.0,44.0,45.0,35.0,50.0,50.0,47.0,4.0,6.0,4.0,5.0,7.0,9.0,791.0,203.0,679.0,21.0,35.0,56.0,84.0,7.0,14.0,18.0,10.0,18.0,26.0,9.0,20.0,31.0,7.0,19.0,31.0,5.0,12.0,18.0,5.0,5.0,7.0,6.0,7.0,7.0,1.0,20.0,22.0,37.0,46.0,1.0,9.0
2006,4,21,4,126,45,3,2,10,0,15000000,145.6,31.5,16.0,12.0,3.0,26.0,13.0,20.0,34.0,29.0,31.0,35.0,44.0,45.0,49.0,50.0,50.0,2.0,4.0,6.0,6.0,5.0,7.0,42.0,21.0,490.0,119.0,427.0,35.0,28.0,7.0,13.0,17.0,9.0,18.0,26.0,9.0,21.0,32.0,7.0,18.0,31.0,6.0,13.0,19.0,5.0,5.0,7.0,6.0,7.0,7.0,5.0,10.0,17.0,22.0,33.0,5.0,7.0
2006,5,5,4,92,46,5,1,12,0,15000000,61.6,38.5,5.0,1.0,16.0,10.0,20.0,26.0,17.0,22.0,34.0,22.0,37.0,35.0,33.0,46.0,49.0,5.0,1.0,2.0,7.0,9.0,6.0,77.0,315.0,245.0,511.0,28.0,63.0,14.0,7.0,12.0,17.0,9.0,19.0,26.0,9.0,22.0,32.0,7.0,19.0,30.0,6.0,14.0,19.0,6.0,6.0,7.0,5.0,7.0,7.0,5.0,20.0,23.0,34.0,50.0,1.0,5.0
2006,5,12,4,132,45,3,2,6,0,25000000,30.8,17.5,4.0,5.0,1.0,8.0,10.0,20.0,14.0,17.0,22.0,16.0,22.0,37.0,50.0,33.0,46.0,3.0,5.0,1.0,9.0,7.0,9.0,14.0,21.0,315.0,175.0,7.0,21.0,35.0,7.0,12.0,17.0,8.0,19.0,26.0,9.0,22.0,32.0,7.0,19.0,30.0,5.0,13.0,19.0,6.0,6.0,7.0,5.0,7.0,7.0,3.0,5.0,25.0,34.0,49.0,5.0,8.0
2006,5,19,4,116,46,1,2,13,1,15000000,56.0,38.5,5.0,4.0,5.0,20.0,8.0,10.0,23.0,14.0,17.0,34.0,16.0,22.0,50.0,50.0,33.0,1.0,3.0,5.0,5.0,9.0,7.0,49.0,77.0,182.0,7.0,35.0,21.0,70.0,7.0,12.0,17.0,8.0,19.0,26.0,10.0,22.0,31.0,7.0,19.0,29.0,5.0,13.0,19.0,6.0,6.0,7.0,5.0,7.0,7.0,2.0,12.0,21.0,41.0,49.0,3.0,7.0
2006,5,26,4,125,47,2,2,10,0,15000000,93.8,24.5,3.0,5.0,4.0,5.0,20.0,8.0,25.0,23.0,14.0,34.0,34.0,16.0,49.0,50.0,50.0,5.0,1.0,3.0,8.0,5.0,9.0,140.0,133.0,119.0,196.0,7.0,21.0,28.0,8.0,12.0,17.0,8.0,18.0,25.0,10.0,21.0,30.0,8.0,19.0,29.0,5.0,12.0,19.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,8.0,27.0,41.0,48.0,1.0,6.0
